318	24
(510.182,87.4299)	(444.061,276.885)	(412.315,324.929)	(461.597,244.301)	(515.364,18.6297)	(407.457,-300.641)	(53.3355,-492.66)	(-348.614,-336.292)	(-467.79,75.0517)	(-235.189,400.339)	(113.83,441.93)	(351.618,280.997)	(436.799,88.4534)	(441.564,-36.6463)	(436.641,-70.9915)	(443.319,-14.1308)	(426.721,131.713)	(308.665,329.48)	(32.462,457.007)	(-314.73,344.348)	(-475.233,-31.7635)	(-265.01,-408.703)	(157.619,-472.686)	(457.454,-222.854)
(506.709,108.613)	(377.278,367.297)	(269.755,456.94)	(296.889,438.639)	(434.047,293.315)	(513.318,-31.8498)	(303.347,-400.645)	(-161.75,-462.536)	(-467.794,-97.5903)	(-326.651,333.571)	(63.4708,453.051)	(357.091,273.692)	(443.731,22.3671)	(413.659,-151.893)	(377.534,-224.098)	(387.027,-208.063)	(430.498,-99.2267)	(431.907,111.874)	(272.065,361.592)	(-86.377,452.611)	(-428.117,195.902)	(-400.679,-268.452)	(20.0467,-494.281)	(423.487,-278.921)
(-412.002,-411.359)	(-555.132,96.6822)	(26.6969,537.65)	(500.145,-110.132)	(-232.772,-428.958)	(-341.23,319.32)	(346.307,287.802)	(306.122,-311.546)	(-183.273,-385.169)	(-409.667,-89.6788)	(-388.897,144.972)	(-347.494,224.013)	(-377.573,171.093)	(-416.986,-33.5419)	(-254.359,-340.431)	(217.173,-376.438)	(413.28,171.525)	(-215.986,410.466)	(-363.129,-319.751)	(428.843,-271.089)	(189.195,498.611)	(-511.495,225.554)	(-461.324,-350.643)	(-277.817,-518.622)
(-351.284,-333.361)	(438.33,-256.396)	(175.042,504.231)	(-516.017,215.907)	(-459.25,-353.56)	(-282.105,-516.098)	(-420.577,-401.938)	(-551.236,114.008)	(46.2894,535.723)	(495.133,-128.757)	(-247.754,-419.981)	(-330.657,329.778)	(353.589,278.401)	(299.705,-317.485)	(-188.221,-382.658)	(-410.126,-87.3499)	(-389.166,144.285)	(-349.568,220.886)	(-380.374,165.07)	(-416.3,-42.8914)	(-244.857,-347.602)	(229.468,-369.4)	(407.166,186.379)	(-231.448,402.402)
(346.696,287.313)	(305.344,-312.278)	(-184.552,-384.528)	(-410.001,-87.9936)	(-388.184,146.772)	(-346.327,225.744)	(-376.636,173.053)	(-417.116,-31.3572)	(-256.038,-339.119)	(215.427,-377.395)	(413.917,169.888)	(-214.723,411.093)	(-363.726,-319.038)	(428.681,-271.332)	(188.721,498.807)	(-512.117,224.253)	(-459.967,-352.556)	(-275.259,-520.105)	(-409.915,-413.59)	(-555.669,94.0767)	(24.7173,537.804)	(500.443,-108.931)	(-232.312,-429.222)	(-341.164,319.387)
(-377.021,172.249)	(-417.063,-32.2729)	(-255.319,-339.682)	(216.195,-376.975)	(413.629,170.631)	(-215.326,410.794)	(-363.411,-319.415)	(428.814,-271.133)	(188.804,498.772)	(-511.909,224.689)	(-460.48,-351.835)	(-276.284,-519.513)	(-410.79,-412.658)	(-555.436,95.2139)	(25.6273,537.734)	(500.294,-109.532)	(-232.6,-429.057)	(-341.115,319.438)	(346.598,287.436)	(305.601,-312.037)	(-184.091,-384.759)	(-409.875,-88.6316)	(-388.463,146.068)	(-346.796,225.05)
(-445.078,156.531)	(217.195,398.596)	(392.419,-198.208)	(-77.5497,-421.612)	(-386.88,-165.589)	(-403.226,101.72)	(-353.594,214.639)	(-366.943,191.937)	(-416.576,24.2525)	(-320.143,-276.846)	(101.164,-420.151)	(443.787,20.3196)	(-41.286,457.92)	(-457.629,-141.254)	(275.518,-419.218)	(362.39,382.851)	(-409.302,372.22)	(-518.805,-248.84)	(-300.368,-504.789)	(-360.549,-460.329)	(-566.114,-51.5345)	(-166.545,518.158)	(508.069,100.952)	(-34.1401,-492.127)
(-293.726,-509.009)	(-361.187,-459.791)	(-566.548,-42.7824)	(-152.734,521.936)	(510.685,83.8127)	(-52.3972,-490.051)	(-438.376,173.289)	(231.632,389.964)	(385.166,-211.333)	(-90.014,-418.878)	(-390.617,-156.061)	(-401.197,108.934)	(-351.121,218.506)	(-366.193,193.305)	(-416.692,22.6908)	(-317.079,-280.483)	(108.932,-418.364)	(443.366,31.4635)	(-55.4353,456.739)	(-452.736,-157.465)	(291.503,-408.877)	(348.027,396.723)	(-422.22,358.431)	(-512.643,-262.43)
(-349.671,220.731)	(-364.945,195.555)	(-416.511,25.0906)	(-318.471,-278.841)	(107.176,-418.781)	(443.432,30.1092)	(-54.6476,456.816)	(-452.766,-157.371)	(292.106,-408.47)	(346.803,397.857)	(-423.989,356.468)	(-511.17,-265.546)	(-290.51,-511.008)	(-358.531,-462.021)	(-566.433,-45.3864)	(-154.206,521.552)	(510.622,84.2827)	(-52.8113,-489.996)	(-437.934,174.331)	(233.058,389.071)	(384.119,-213.143)	(-92.33,-418.327)	(-391.517,-153.66)	(-400.448,111.48)
(-54.654,456.816)	(-452.776,-157.342)	(292.046,-408.511)	(346.889,397.778)	(-423.883,356.587)	(-511.25,-265.377)	(-290.67,-510.909)	(-358.65,-461.921)	(-566.437,-45.2868)	(-154.168,521.562)	(510.62,84.297)	(-52.7549,-490.003)	(-437.969,174.25)	(232.965,389.13)	(384.182,-213.035)	(-92.1997,-418.359)	(-391.469,-153.789)	(-400.487,111.35)	(-349.742,220.622)	(-365.003,195.45)	(-416.519,24.9853)	(-318.415,-278.908)	(107.239,-418.767)	(443.43,30.1474)
