866	3
0.175642	0.149475	0
0.0429807	-0.0266611	0
0.0535119	-0.0135316	0
0.0540671	-0.0269226	0
-0.0725773	0.012315	0
-0.069324	-0.00168866	0
-0.0831361	0.0018483	0
-0.059397	0.00835001	0
0.171024	0.135091	0
0.149591	0.155013	0
0.0021786	0.0990426	0
-0.103855	0.0375151	0
-0.119077	0.0385278	0
-0.11507	0.0504458	0
-0.114642	0.0267097	0
0.185947	-0.0066223	0
0.190692	-0.0173579	0
-0.0351948	-0.139693	0
-0.0385947	-0.127867	0
0.0189864	0.159003	0
-0.00808673	-0.0261058	0
-0.00769294	-0.0414274	0
-0.0106596	-0.176331	0
-0.0168958	-0.189236	0
-0.0251432	-0.176367	0
-0.0194601	-0.0489356	0
-0.0353534	-0.0448215	0
-0.022358	-0.0310962	0
-0.0286666	-0.117933	0
-0.0315259	-0.102032	0
-0.0166332	-0.109879	0
0.0443691	0.0107016	0
0.035122	-0.000468536	0
-0.0788108	-0.0817546	0
0.037255	0.0380412	0
0.0503085	0.0392831	0
0.0439009	0.0245613	0
-0.0427831	-0.112276	0
-0.0151586	-0.122207	0
0.0802946	0.0506598	0
0.0798381	0.0373445	0
0.067423	0.0424245	0
0.0728603	0.0280315	0
0.0953169	0.0137351	0
0.0981737	0.0271741	0
0.108835	0.0208653	0
0.086405	0.026644	0
-0.159774	-0.0094427	0
-0.165781	0.0147905	0
-0.171017	0.0265039	0
-0.15732	0.0271851	0
0.0685226	0.060241	0
-0.11198	-0.0221487	0
-0.12567	-0.0213982	0
-0.119651	-0.0129146	0
-0.131713	-0.00928746	0
-0.121987	8.16473e-05	0
-0.134978	0.00564017	0
-0.139996	-0.018478	0
0.0648806	-0.0354334	0
0.065913	-0.0218976	0
0.0498362	-0.039259	0
0.0665661	-0.00769856	0
0.079834	-0.0194715	0
0.0813872	-0.00350578	0
-0.0346788	0.119252	0
-0.02581	0.111942	0
-0.0226065	0.099118	0
-0.0385958	0.104684	0
-0.0332211	0.0883357	0
0.135523	-0.190119	0
-0.0560327	-0.0268434	0
-0.0733441	-0.0250135	0
-0.0634026	-0.01354	0
-0.0632213	-0.0373799	0
-0.057509	-0.00375535	0
-0.0823218	0.0621749	0
-0.0992087	0.0551446	0
-0.0969805	0.0699655	0
-0.0832539	0.0488934	0
0.0666937	0.00590443	0
0.065986	0.0185983	0
0.0795418	0.0130238	0
0.051528	-0.000465369	0
-0.0177512	-0.0638391	0
-0.0287701	-0.0571566	0
-0.00483481	-0.0552728	0
-0.172819	-0.00180951	0
-0.158229	0.00319253	0
0.132925	-0.147951	0
0.149353	-0.142736	0
0.145391	-0.157645	0
-0.132893	0.169723	0
-0.12835	0.152073	0
0.149792	-0.115326	0
0.137549	-0.129387	0
0.135407	-0.11373	0
-0.098195	0.00359927	0
-0.0920055	-0.00857828	0
-0.086169	0.0162539	0
-0.0864391	-0.018843	0
-0.0981776	-0.0207414	0
-0.0880436	-0.0307721	0
0.0444654	-0.0546884	0
0.0598527	-0.0507456	0
0.0555744	-0.0659128	0
-0.149002	0.0136131	0
-0.146329	-0.00430307	0
0.128625	-0.048739	0
0.12899	-0.0330341	0
-0.170351	-0.167515	0
-0.174782	-0.157699	0
-0.16277	-0.159335	0
-0.00610217	-0.0891641	0
-0.0197231	-0.083717	0
-0.0119203	-0.0758086	0
-0.018298	-0.095843	0
-0.0635066	0.160789	0
-0.0686015	0.143157	0
-0.0798841	0.156326	0
0.157925	0.180833	0
0.146913	0.169223	0
-0.00294987	-0.0683515	0
-0.158301	0.161442	0
0.0955614	-0.168648	0
0.106601	-0.160966	0
0.111107	-0.172612	0
0.119976	0.166315	0
0.119674	0.151793	0
0.0283888	-0.0590461	0
0.0326815	-0.0412116	0
0.0388286	-0.0689138	0
0.13338	0.172783	0
0.135184	0.157143	0
0.140425	0.186786	0
0.0863273	-0.046349	0
0.0832723	-0.0591292	0
0.0736723	-0.0478336	0
0.0969463	-0.0545246	0
-0.171181	0.141904	0
-0.15784	0.149279	0
-0.0406698	-0.0298876	0
-0.0493878	-0.0413131	0
-0.172365	0.108169	0
-0.161785	0.118415	0
-0.161113	0.101728	0
0.125372	-0.121432	0
-0.154751	-0.0900813	0
-0.150112	-0.0767152	0
-0.138074	-0.089257	0
0.122769	-0.185386	0
0.10779	-0.187979	0
0.096835	-0.182943	0
-0.187585	-0.180925	0
-0.184602	-0.1658	0
-0.173239	-0.178526	0
-0.146163	-0.0633306	0
0.0580697	-0.184933	0
0.166545	0.188289	0
-0.0302785	-0.0162941	0
-0.106735	0.114647	0
-0.121282	0.115276	0
-0.114923	0.129537	0
-0.0835171	-0.175752	0
-0.0895905	-0.187221	0
0.163981	-0.141943	0
0.157584	-0.152665	0
0.0864991	0.186413	0
-0.155958	-0.147874	0
-0.14866	-0.162537	0
-0.102541	0.190837	0
-0.186028	0.117659	0
-0.188252	0.103668	0
0.168645	0.119453	0
0.185432	0.115161	0
0.182241	0.126716	0
-0.16285	-0.188669	0
-0.17769	-0.192029	0
-0.16473	0.1846	0
-0.156534	0.135863	0
0.179151	0.190964	0
-0.15636	-0.176216	0
-0.147504	-0.186871	0
0.0683542	0.105833	0
0.0850097	0.107025	0
0.0776303	0.0938487	0
0.165517	0.0607248	0
0.0853615	-0.0813291	0
0.0793771	-0.0703904	0
0.0943962	-0.0692776	0
-0.173841	-0.0618277	0
-0.187554	-0.0571083	0
-0.177247	-0.0495791	0
0.105385	0.12809	0
0.113204	0.111752	0
0.0987741	0.113464	0
0.187717	0.149736	0
0.0899463	0.137243	0
0.10573	0.14534	0
0.0879343	0.12294	0
0.130597	-0.167097	0
0.117596	-0.155267	0
0.0821811	0.161952	0
0.0769531	0.173683	0
0.0161646	0.188068	0
0.0171761	0.173754	0
-0.132378	0.0870491	0
-0.141142	0.0756159	0
-0.147195	0.0910087	0
0.157004	-0.128367	0
-0.0125714	0.159449	0
-0.0207106	0.173974	0
-0.145338	0.158272	0
-0.143476	0.143558	0
0.0714105	0.161574	0
-0.147736	0.108499	0
0.0209191	-0.126746	0
0.0301334	-0.114794	0
0.0338927	-0.126952	0
-0.189936	-0.19238	0
-0.164837	0.0857433	0
0.187387	0.179139	0
0.190408	0.191949	0
-0.153678	0.0734807	0
0.149701	-0.0169692	0
0.159236	-0.00355921	0
-0.0571486	-0.0501162	0
-0.0439011	-0.0588298	0
0.110268	-0.0744649	0
-0.151167	0.173555	0
-0.0760464	-0.186958	0
0.186104	0.137948	0
0.0552243	0.0147926	0
0.173482	-0.0587856	0
0.188213	-0.0596505	0
0.178819	-0.0732729	0
0.088732	0.0796509	0
0.0911795	0.0931535	0
